word,count
wandering,46
answering,46
sobbed,46
restrain,46
therefore,46
suited,46
religion,46
coldly,46
painfully,46
andalusia,46
governor,46
nuns,46
consul,46
ercole,46
greatness,45
rubbed,45
appear,45
science,45
innocent,45
eagerness,45
introduced,45
intimate,45
chiefly,45
justice,45
entrance,45
owe,45
confused,45
preferred,45
casual,45
chuckle,45
monstrous,45
distinctly,45
inn,45
ruin,45
consciousness,45
subtle,45
piazza,45
smoked,45
starting,45
page,45
sensitive,45
spending,45
plan,45
comic,45
devotion,45
glasses,45
increased,45
regretted,45
sounded,45
distracted,45
overwhelming,45
consisted,45
hideous,45
sober,45
setting,45
wealth,45
immense,45
sing,45
wrinkled,45
sheer,45
collected,45
disappointment,45
cases,45
tied,45
fought,45
blush,45
positively,45
honestly,45
presented,45
gravity,45
tons,45
madly,45
fortunate,44
faults,44
evident,44
circle,44
mi,44
trade,44
contrast,44
curtains,44
examined,44
fever,44
porter,44
beastly,44
disconcerted,44
frankly,44
chin,44
gates,44
gather,44
sum,44
generous,44
ended,44
retired,44
national,44
leg,44
hesitation,44
shows,44
appointed,44
eternal,44
unfortunate,44
harbour,44
airs,44
disappeared,44
salt,44
greek,44
information,44
helplessly,44
nephew,44
prayers,44
graves,44
apt,44
softly,44
march,44
reed,44
brackley,44
mark,43
ignorance,43
amazement,43
precisely,43
shortly,43
seek,43
tempered,43
vi,43
strolled,43
jokes,43
overwhelmed,43
phrase,43
hats,43
observation,43
panic,43
li,43
amuse,43
fled,43
attacked,43
haggard,43
parlour,43
intensely,43
pitiful,43
serve,43
hateful,43
armchair,43
smaller,43
awake,43
everybody,43
eleven,43
thomas,43
bird,43
eaten,43
ambition,43
peoples,43
approaching,43
properly,43
satin,43
folk,43
join,43
monks,43
income,43
solemnly,43
bless,43
realized,43
basils,43
contact,42
release,42
noisy,42
larger,42
arts,42
collar,42
shyness,42
noise,42
distressed,42
shocked,42
clasped,42
minded,42
building,42
immensely,42
settle,42
dingy,42
acting,42
likes,42
ecstasy,42
accompany,42
eventually,42
needful,42
string,42
guessed,42
wisdom,42
temptation,42
flash,42
hoarsely,42
fro,42
understanding,42
monotonous,42
elder,42
holy,42
hearing,42
patients,42
solicitor,42
manager,42
wan,42
abruptly,42
measure,42
headache,42
rights,42
hoping,42
cares,42
guest,42
horn,42
claude,42
ponson,42
discreet,41
insignificant,41
hur,41
extravagant,41
rot,41
burden,41
seats,41
wander,41
trim,41
photographs,41
agreeable,41
innumerable,41
providence,41
fly,41
careless,41
freely,41
splendour,41
wooden,41
frightfully,41
decision,41
coffee,41
signs,41
consent,41
reality,41
